,definition
K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
K02834,rbfA; ribosome-binding factor A
K02835,"prfA, MTRF1, MRF1; peptide chain release factor 1"
K02836,prfB; peptide chain release factor 2
K02837,prfC; peptide chain release factor 3
K02838,"frr, MRRF, RRF; ribosome recycling factor"
K02839,prfH; peptide chain release factor
K02841,"waaC, rfaC; heptosyltransferase I [EC:2.4.-.-]"
K02843,"waaF, rfaF; heptosyltransferase II [EC:2.4.-.-]"
K02844,"waaG, rfaG; UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]"
K02846,solA; N-methyl-L-tryptophan oxidase [EC:1.5.3.-]
K02847,"waaL, rfaL; O-antigen ligase [EC:2.4.1.-]"
K02848,"waaP, rfaP; heptose I phosphotransferase [EC:2.7.1.-]"
K02849,"waaQ, rfaQ; heptosyltransferase III [EC:2.4.-.-]"
K02850,"waaY, rfaY; heptose II phosphotransferase [EC:2.7.1.-]"
K02851,"wecA, tagO, rfe; UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]"
K02852,"wecG, rffM; UDP-N-acetyl-D-mannosaminouronate:lipid I N-acetyl-D-mannosaminouronosyltransferase [EC:2.4.1.180]"
K02853,"wzyE, rffT; enterobacterial common antigen polymerase [EC:2.4.1.-]"
K02854,"rhaR; AraC family transcriptional regulator, L-rhamnose operon transcriptional activator RhaR"
K02855,"rhaS; AraC family transcriptional regulator, L-rhamnose operon regulatory protein RhaS"
K02856,rhaT; L-rhamnose-H+ transport protein
K02858,"ribB, RIB3; 3,4-dihydroxy 2-butanone 4-phosphate synthase [EC:4.1.99.12]"
K02860,rimM; 16S rRNA processing protein RimM
K02863,"RP-L1, MRPL1, rplA; large subunit ribosomal protein L1"
K02864,"RP-L10, MRPL10, rplJ; large subunit ribosomal protein L10"
K02867,"RP-L11, MRPL11, rplK; large subunit ribosomal protein L11"
K02871,"RP-L13, MRPL13, rplM; large subunit ribosomal protein L13"
K02874,"RP-L14, MRPL14, rplN; large subunit ribosomal protein L14"
K02876,"RP-L15, MRPL15, rplO; large subunit ribosomal protein L15"
K02878,"RP-L16, MRPL16, rplP; large subunit ribosomal protein L16"
K02879,"RP-L17, MRPL17, rplQ; large subunit ribosomal protein L17"
K02881,"RP-L18, MRPL18, rplR; large subunit ribosomal protein L18"
K02884,"RP-L19, MRPL19, rplS; large subunit ribosomal protein L19"
K02886,"RP-L2, MRPL2, rplB; large subunit ribosomal protein L2"
K02887,"RP-L20, MRPL20, rplT; large subunit ribosomal protein L20"
K02888,"RP-L21, MRPL21, rplU; large subunit ribosomal protein L21"
K02890,"RP-L22, MRPL22, rplV; large subunit ribosomal protein L22"
K02892,"RP-L23, MRPL23, rplW; large subunit ribosomal protein L23"
K02895,"RP-L24, MRPL24, rplX; large subunit ribosomal protein L24"
K02897,"RP-L25, rplY; large subunit ribosomal protein L25"
K02899,"RP-L27, MRPL27, rpmA; large subunit ribosomal protein L27"
K02902,"RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28"
K02904,"RP-L29, rpmC; large subunit ribosomal protein L29"
K02906,"RP-L3, MRPL3, rplC; large subunit ribosomal protein L3"
K02907,"RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30"
K02909,"RP-L31, rpmE; large subunit ribosomal protein L31"
K02911,"RP-L32, MRPL32, rpmF; large subunit ribosomal protein L32"
K02913,"RP-L33, MRPL33, rpmG; large subunit ribosomal protein L33"
K02914,"RP-L34, MRPL34, rpmH; large subunit ribosomal protein L34"
K02916,"RP-L35, MRPL35, rpmI; large subunit ribosomal protein L35"
K02919,"RP-L36, MRPL36, rpmJ; large subunit ribosomal protein L36"
K02926,"RP-L4, MRPL4, rplD; large subunit ribosomal protein L4"
K02931,"RP-L5, MRPL5, rplE; large subunit ribosomal protein L5"
K02933,"RP-L6, MRPL6, rplF; large subunit ribosomal protein L6"
K02935,"RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12"
K02939,"RP-L9, MRPL9, rplI; large subunit ribosomal protein L9"
K02945,"RP-S1, rpsA; small subunit ribosomal protein S1"
K02946,"RP-S10, MRPS10, rpsJ; small subunit ribosomal protein S10"
K02948,"RP-S11, MRPS11, rpsK; small subunit ribosomal protein S11"
K02950,"RP-S12, MRPS12, rpsL; small subunit ribosomal protein S12"
K02952,"RP-S13, rpsM; small subunit ribosomal protein S13"
K02954,"RP-S14, MRPS14, rpsN; small subunit ribosomal protein S14"
K02956,"RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15"
K02959,"RP-S16, MRPS16, rpsP; small subunit ribosomal protein S16"
K02961,"RP-S17, MRPS17, rpsQ; small subunit ribosomal protein S17"
K02963,"RP-S18, MRPS18, rpsR; small subunit ribosomal protein S18"
K02965,"RP-S19, rpsS; small subunit ribosomal protein S19"
K02967,"RP-S2, MRPS2, rpsB; small subunit ribosomal protein S2"
K02968,"RP-S20, rpsT; small subunit ribosomal protein S20"
K02970,"RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21"
K02972,sra; stationary-phase-induced ribosome-associated protein
K02982,"RP-S3, rpsC; small subunit ribosomal protein S3"
K02986,"RP-S4, rpsD; small subunit ribosomal protein S4"
K02988,"RP-S5, MRPS5, rpsE; small subunit ribosomal protein S5"
K02990,"RP-S6, MRPS6, rpsF; small subunit ribosomal protein S6"
K02992,"RP-S7, MRPS7, rpsG; small subunit ribosomal protein S7"
K02994,"RP-S8, rpsH; small subunit ribosomal protein S8"
K02996,"RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9"
K03040,rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
K03041,rpoA1; DNA-directed RNA polymerase subunit A' [EC:2.7.7.6]
K03043,rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
K03046,rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
K03048,rpoE; DNA-directed RNA polymerase subunit delta
K03060,rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]
K03070,secA; preprotein translocase subunit SecA [EC:7.4.2.8]
K03071,secB; preprotein translocase subunit SecB
K03072,secD; preprotein translocase subunit SecD
K03073,secE; preprotein translocase subunit SecE
K03074,secF; preprotein translocase subunit SecF
K03077,"araD, ulaF, sgaE, sgbE; L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]"
K03078,"ulaD, sgaH, sgbH; 3-dehydro-L-gulonate-6-phosphate decarboxylase [EC:4.1.1.85]"
K03079,"ulaE, sgaU, sgbU; L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22]"
K03086,rpoD; RNA polymerase primary sigma factor
K03087,rpoS; RNA polymerase nonessential primary-like sigma factor
K03088,"rpoE; RNA polymerase sigma-70 factor, ECF subfamily"
K03089,rpoH; RNA polymerase sigma-32 factor
K03090,sigB; RNA polymerase sigma-B factor
K03093,sigI; RNA polymerase sigma factor
K03095,sprL; SprT-like protein
K03098,APOD; apolipoprotein D and lipocalin family protein
K03101,lspA; signal peptidase II [EC:3.4.23.36]
K03106,"SRP54, ffh; signal recognition particle subunit SRP54 [EC:3.6.5.4]"
K03110,ftsY; fused signal recognition particle receptor
K03111,ssb; single-strand DNA-binding protein
K03112,damX; DamX protein
K03113,"EIF1, SUI1; translation initiation factor 1"
K03116,tatA; sec-independent protein translocase protein TatA
K03119,tauD; taurine dioxygenase [EC:1.14.11.17]
K03147,thiC; phosphomethylpyrimidine synthase [EC:4.1.99.17]
K03148,thiF; sulfur carrier protein ThiS adenylyltransferase [EC:2.7.7.73]
K03152,thiJ; protein deglycase [EC:3.5.1.124]
K03154,thiS; sulfur carrier protein
K03177,"truB, PUS4, TRUB1; tRNA pseudouridine55 synthase [EC:5.4.99.25]"
K03179,ubiA; 4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]
K03181,ubiC; chorismate--pyruvate lyase [EC:4.1.3.40]
K03182,ubiD; 4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]
K03184,ubiF; 3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]
K03185,ubiH; 2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]
K03186,"ubiX, bsdB, PAD1; flavin prenyltransferase [EC:2.5.1.129]"
K03187,ureE; urease accessory protein
K03188,ureF; urease accessory protein
K03190,"ureD, ureH; urease accessory protein"
K03191,ureI; acid-activated urea channel
K03196,"virB11, lvhB11; type IV secretion system protein VirB11 [EC:7.4.2.8]"
K03199,"virB4, lvhB4; type IV secretion system protein VirB4 [EC:7.4.2.8]"
K03203,"virB8, lvhB8; type IV secretion system protein VirB8"
K03207,wcaH; colanic acid biosynthesis protein WcaH [EC:3.6.1.-]
K03208,wcaI; colanic acid biosynthesis glycosyl transferase WcaI
K03212,rumB; 23S rRNA (uracil747-C5)-methyltransferase [EC:2.1.1.189]
K03214,"yfiF, trmG; RNA methyltransferase, TrmH family [EC:2.1.1.-]"
K03215,rumA; 23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190]
K03218,rlmB; 23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]
K03219,"yscC, sctC, ssaC; type III secretion protein C"
K03224,"yscN, sctN, hrcN, ssaN; ATP synthase in type III secretion protein N [EC:7.4.2.8]"
K03225,"yscQ, sctQ, hrcQ, ssaQ, spaO; type III secretion protein Q"
K03226,"yscR, sctR, hrcR, ssaR; type III secretion protein R"
K03227,"yscS, sctS, hrcS, ssaS; type III secretion protein S"
K03229,"yscU, sctU, hrcU, ssaU; type III secretion protein U"
K03230,"yscV, sctV, hrcV, ssaV, invA; type III secretion protein V"
K03231,EEF1A; elongation factor 1-alpha
K03234,EEF2; elongation factor 2
K03242,EIF2S3; translation initiation factor 2 subunit 3
K03269,"lpxH; UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]"
K03270,kdsC; 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]
K03271,"gmhA, lpcA; D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]"
K03272,"gmhC, hldE, waaE, rfaE; D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]"
K03273,"gmhB; D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]"
K03274,"gmhD, rfaD; ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]"
K03275,"waaO, rfaI; UDP-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]"
K03276,"waaR, waaT, rfaJ; UDP-glucose/galactose:(glucosyl)LPS alpha-1,2-glucosyl/galactosyltransferase [EC:2.4.1.-]"
K03289,"nupG; MFS transporter, NHS family, nucleoside permease"
K03290,"nanT; MFS transporter, SHS family, sialic acid transporter"
K03291,"MFS.SET; MFS transporter, SET family, sugar efflux transporter"
K03293,"TC.AAT; amino acid transporter, AAT family"
K03294,"TC.APA; basic amino acid/polyamine antiporter, APA family"
K03296,"TC.HAE1; hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family"
K03297,"emrE, qac, mmr, smr; small multidrug resistance pump"
K03299,"TC.GNTP; gluconate:H+ symporter, GntP family"
K03301,"TC.AAA; ATP:ADP antiporter, AAA family"
K03303,lctP; lactate permease
K03306,"TC.PIT; inorganic phosphate transporter, PiT family"
K03311,"TC.LIVCS; branched-chain amino acid:cation transporter, LIVCS family"
K03312,"gltS; glutamate:Na+ symporter, ESS family"
K03313,"nhaA; Na+:H+ antiporter, NhaA family"
K03314,"nhaB; Na+:H+ antiporter, NhaB family"
K03315,"nhaC; Na+:H+ antiporter, NhaC family"
K03322,mntH; manganese transport protein
K03324,yjbB; phosphate:Na+ symporter
K03325,"ACR3, arsB; arsenite transporter"
K03326,"TC.DCUC, dcuC, dcuD; C4-dicarboxylate transporter, DcuC family"
K03327,"TC.MATE, SLC47A, norM, mdtK, dinF; multidrug resistance protein, MATE family"
K03328,"TC.PST; polysaccharide transporter, PST family"
K03329,yahN; amino acid exporter
K03332,fruA; fructan beta-fructosidase [EC:3.2.1.80]
K03335,iolE; inosose dehydratase [EC:4.2.1.44]
K03336,"iolD; 3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing) [EC:3.7.1.22]"
K03337,iolB; 5-deoxy-glucuronate isomerase [EC:5.3.1.30]
K03338,iolC; 5-dehydro-2-deoxygluconokinase [EC:2.7.1.92]
K03340,dapdh; diaminopimelate dehydrogenase [EC:1.4.1.16]
K03366,"butA, budC; meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]"
K03367,dltA; D-alanine--poly(phosphoribitol) ligase subunit 1 [EC:6.1.1.13]
K03385,nrfA; nitrite reductase (cytochrome c-552) [EC:1.7.2.2]
K03390,hdrC2; heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
K03394,cobI-cbiL; precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151]
K03399,cbiE; cobalt-precorrin-7 (C5)-methyltransferase [EC:2.1.1.289]
K03405,"chlI, bchI; magnesium chelatase subunit I [EC:6.6.1.1]"
K03407,"cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]"
K03408,cheW; purine-binding chemotaxis protein CheW
K03409,cheX; chemotaxis protein CheX
K03411,cheD; chemotaxis protein CheD [EC:3.5.1.44]
K03412,"cheB; two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]"
K03413,"cheY; two-component system, chemotaxis family, chemotaxis protein CheY"
K03414,cheZ; chemotaxis protein CheZ
K03417,prpB; methylisocitrate lyase [EC:4.1.3.30]
K03424,tatD; TatD DNase family protein [EC:3.1.21.-]
K03425,tatE; sec-independent protein translocase protein TatE
K03426,"E3.6.1.22, NUDT12, nudC; NAD+ diphosphatase [EC:3.6.1.22]"
K03429,"ugtP; processive 1,2-diacylglycerol beta-glucosyltransferase [EC:2.4.1.315]"
K03435,"fruR1, fruR; LacI family transcriptional regulator, fructose operon transcriptional repressor"
K03437,"spoU; RNA methyltransferase, TrmH family"
K03439,"trmB, METTL1, TRM8; tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]"
K03444,"MFS.SP; MFS transporter, SP family, sugar porter, other"
K03445,"nepI; MFS transporter, DHA1 family, purine ribonucleoside efflux pump"
K03446,"emrB; MFS transporter, DHA2 family, multidrug resistance protein"
K03451,"TC.BCT; betaine/carnitine transporter, BCCT family"
K03462,NAMPT; nicotinamide phosphoribosyltransferase [EC:2.4.2.12]
K03468,aaeB; p-hydroxybenzoic acid efflux pump subunit AaeB
K03470,rnhB; ribonuclease HII [EC:3.1.26.4]
K03471,rnhC; ribonuclease HIII [EC:3.1.26.4]
K03472,epd; D-erythrose 4-phosphate dehydrogenase [EC:1.2.1.72]
K03473,pdxB; erythronate-4-phosphate dehydrogenase [EC:1.1.1.290]
K03474,pdxJ; pyridoxine 5-phosphate synthase [EC:2.6.99.2]
K03475,"PTS-Ula-EIIC, ulaA, sgaT; PTS system, ascorbate-specific IIC component"
K03476,ulaG; L-ascorbate 6-phosphate lactonase [EC:3.1.1.-]
K03477,"ulaR; DeoR family transcriptional regulator, ulaG and ulaABCDEF operon transcriptional repressor"
K03478,chbG; chitin disaccharide deacetylase [EC:3.5.1.105]
K03481,"glvR; RpiR family transcriptional regulator, glv operon transcriptional regulator"
K03482,"yidP; GntR family transcriptional regulator, glv operon transcriptional regulator"
K03485,"treR; LacI family transcriptional regulator, trehalose operon repressor"
K03487,"ascG; LacI family transcriptional regulator, asc operon repressor"
K03490,"chbR, celD; AraC family transcriptional regulator, dual regulator of chb operon"
K03491,licR; lichenan operon transcriptional antiterminator
K03492,ydhQ; GntR family transcriptional regulator
K03497,"parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein"
K03503,umuD; DNA polymerase V [EC:3.4.21.-]
K03516,flhE; flagellar protein FlhE
K03517,nadA; quinolinate synthase [EC:2.5.1.72]
K03519,"coxM, cutM; aerobic carbon-monoxide dehydrogenase medium subunit [EC:1.2.5.3]"
K03521,"fixA, etfB; electron transfer flavoprotein beta subunit"
K03522,"fixB, etfA; electron transfer flavoprotein alpha subunit"
K03524,"birA; BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]"
K03528,zipA; cell division protein ZipA
K03531,ftsZ; cell division protein FtsZ
K03532,"torC; trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorC"
K03533,torD; TorA specific chaperone
K03534,rhaM; L-rhamnose mutarotase [EC:5.1.3.32]
K03535,"gudP; MFS transporter, ACS family, glucarate transporter"
K03543,"emrA; membrane fusion protein, multidrug efflux system"
K03544,"clpX, CLPX; ATP-dependent Clp protease ATP-binding subunit ClpX"
K03545,tig; trigger factor
K03546,"sbcC, rad50; DNA repair protein SbcC/Rad50"
K03547,"sbcD, mre11; DNA repair protein SbcD/Mre11"
K03548,perM; putative permease
K03549,kup; KUP system potassium uptake protein
K03552,hjr; holliday junction resolvase Hjr [EC:3.1.22.4]
K03553,recA; recombination protein RecA
K03554,rdgC; recombination associated protein RdgC
K03557,"fis; Fis family transcriptional regulator, factor for inversion stimulation protein"
K03558,cvpA; membrane protein required for colicin V production
K03560,tolR; biopolymer transport protein TolR
K03562,tolQ; biopolymer transport protein TolQ
K03564,"BCP, PRXQ, DOT5; peroxiredoxin Q/BCP [EC:1.11.1.15]"
K03565,recX; regulatory protein
K03566,"gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator"
K03567,gcvR; glycine cleavage system transcriptional repressor
K03569,mreB; rod shape-determining protein MreB and related proteins
K03572,mutL; DNA mismatch repair protein MutL
K03573,mutH; DNA mismatch repair protein MutH
K03576,"metR; LysR family transcriptional regulator, regulator for metE and metH"
K03577,"acrR, smeT; TetR/AcrR family transcriptional regulator, acrAB operon repressor"
K03578,hrpA; ATP-dependent helicase HrpA [EC:3.6.4.13]
K03579,hrpB; ATP-dependent helicase HrpB [EC:3.6.4.13]
K03580,hepA; ATP-dependent helicase HepA [EC:3.6.4.-]
K03582,recB; exodeoxyribonuclease V beta subunit [EC:3.1.11.5]
K03583,recC; exodeoxyribonuclease V gamma subunit [EC:3.1.11.5]
K03584,recO; DNA repair protein RecO (recombination protein O)
K03585,"acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system"
K03586,ftsL; cell division protein FtsL
K03589,ftsQ; cell division protein FtsQ
K03590,ftsA; cell division protein FtsA
K03591,ftsN; cell division protein FtsN
K03592,pmbA; PmbA protein
K03596,lepA; GTP-binding protein LepA
K03597,rseA; sigma-E factor negative regulatory protein RseA
K03598,rseB; sigma-E factor negative regulatory protein RseB
K03599,"sspA, mglA; stringent starvation protein A"
K03600,sspB; stringent starvation protein B
K03601,xseA; exodeoxyribonuclease VII large subunit [EC:3.1.11.6]
K03602,xseB; exodeoxyribonuclease VII small subunit [EC:3.1.11.6]
K03604,"purR; LacI family transcriptional regulator, purine nucleotide synthesis repressor"
K03605,"hyaD, hybD; hydrogenase maturation protease [EC:3.4.23.-]"
K03606,wcaJ; putative colanic acid biosysnthesis UDP-glucose lipid carrier transferase
K03607,proQ; ProP effector
K03611,dsbB; disulfide bond formation protein DsbB
K03612,rnfG; Na+-translocating ferredoxin:NAD+ oxidoreductase subunit G
K03615,rnfC; Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C [EC:7.2.1.2]
K03618,hyaF; hydrogenase-1 operon protein HyaF
K03619,hyaE; hydrogenase-1 operon protein HyaE
K03620,hyaC; Ni/Fe-hydrogenase 1 B-type cytochrome subunit
K03623,yhcO; ribonuclease inhibitor
K03624,greA; transcription elongation factor GreA
K03625,nusB; transcription antitermination protein NusB
K03628,rho; transcription termination factor Rho
K03632,mukB; chromosome partition protein MukB
K03633,mukF; chromosome partition protein MukF
K03634,lolA; outer membrane lipoprotein carrier protein
K03635,"MOCS2B, moaE; molybdopterin synthase catalytic subunit [EC:2.8.1.12]"
K03638,moaB; molybdopterin adenylyltransferase [EC:2.7.7.75]
